rx,ry,changed,len,score,sample
0.25,0.50,True,42,42,__SENTINEL__0.40_0.80_1772777617.7995563__
0.25,0.60,True,42,42,__SENTINEL__0.50_0.16_1772777618.8201454__
0.25,0.70,True,42,42,__SENTINEL__0.50_0.24_1772777619.8030272__
0.35,0.30,True,42,42,__SENTINEL__0.50_0.40_1772777621.8416467__
0.35,0.40,True,42,42,__SENTINEL__0.50_0.48_1772777622.8493106__
0.35,0.60,True,42,42,__SENTINEL__0.50_0.64_1772777624.8772042__
0.45,0.30,True,42,42,__SENTINEL__0.50_0.80_1772777626.9399326__
0.45,0.40,True,42,42,__SENTINEL__0.60_0.16_1772777627.9248183__
0.45,0.50,True,42,42,__SENTINEL__0.60_0.24_1772777628.9129739__
0.45,0.70,True,42,42,__SENTINEL__0.60_0.40_1772777630.9456809__
0.55,0.20,True,42,42,__SENTINEL__0.60_0.48_1772777631.9357386__
0.55,0.30,True,42,42,__SENTINEL__0.60_0.56_1772777632.9230213__
0.55,0.70,True,42,42,__SENTINEL__0.60_0.80_1772777636.0278947__
0.65,0.20,True,42,42,__SENTINEL__0.70_0.16_1772777637.0456483__
0.65,0.30,True,42,42,__SENTINEL__0.70_0.24_1772777638.0890467__
0.65,0.40,True,42,42,__SENTINEL__0.70_0.32_1772777639.1013384__
0.65,0.50,True,42,42,__SENTINEL__0.70_0.40_1772777640.1433942__
0.65,0.60,True,42,42,__SENTINEL__0.70_0.48_1772777641.1347272__
0.65,0.70,True,42,42,__SENTINEL__0.70_0.56_1772777642.2132723__
0.75,0.20,True,42,42,__SENTINEL__0.70_0.64_1772777643.2120082__
0.75,0.40,True,42,42,__SENTINEL__0.70_0.72_1772777644.2328696__
0.75,0.60,True,42,42,__SENTINEL__0.80_0.16_1772777646.3790648__
0.75,0.70,True,42,42,__SENTINEL__0.80_0.24_1772777647.3959851__
0.85,0.20,True,42,42,__SENTINEL__0.80_0.32_1772777648.4114025__
0.85,0.40,True,42,42,__SENTINEL__0.80_0.48_1772777650.4806561__
0.85,0.60,True,42,42,__SENTINEL__0.80_0.64_1772777652.5352652__
0.25,0.20,True,41,41,__SENTINEL__0.40_0.64_1772777615.724297__
0.35,0.20,True,41,41,__SENTINEL__0.50_0.32_1772777620.802387__
0.35,0.50,True,41,41,__SENTINEL__0.50_0.56_1772777623.889071__
0.55,0.40,True,41,41,__SENTINEL__0.60_0.64_1772777633.946753__
0.85,0.30,True,41,41,__SENTINEL__0.80_0.40_1772777649.424818__
0.85,0.70,True,41,41,__SENTINEL__0.80_0.72_1772777653.571548__
0.45,0.60,True,40,40,__SENTINEL__0.60_0.32_1772777629.90153__
0.85,0.50,True,40,40,__SENTINEL__0.80_0.56_1772777651.49902__
0.25,0.30,False,0,0,
0.25,0.40,False,0,0,
0.35,0.70,False,0,0,
0.45,0.20,False,0,0,
0.55,0.50,False,0,0,
0.55,0.60,False,0,0,
0.75,0.30,False,0,0,
0.75,0.50,True,0,0,
