rx,ry,changed,len,score,sample
0.40,0.56,True,42,42,__SENTINEL__0.25_0.20_1772777614.9417253__
0.40,0.64,True,42,42,__SENTINEL__0.25_0.30_1772777615.8777204__
0.40,0.72,True,42,42,__SENTINEL__0.25_0.50_1772777617.7144418__
0.50,0.16,True,42,42,__SENTINEL__0.25_0.70_1772777619.5037344__
0.50,0.24,True,42,42,__SENTINEL__0.35_0.20_1772777620.4513729__
0.50,0.32,True,42,42,__SENTINEL__0.35_0.30_1772777621.3714406__
0.50,0.48,True,42,42,__SENTINEL__0.35_0.50_1772777623.2209363__
0.50,0.72,True,42,42,__SENTINEL__0.45_0.30_1772777626.8495455__
0.50,0.80,True,42,42,__SENTINEL__0.45_0.40_1772777627.7559943__
0.60,0.16,True,42,42,__SENTINEL__0.45_0.50_1772777628.6654737__
0.60,0.32,True,42,42,__SENTINEL__0.45_0.70_1772777630.4909103__
0.60,0.40,True,42,42,__SENTINEL__0.55_0.20_1772777631.4189854__
0.60,0.48,True,42,42,__SENTINEL__0.55_0.30_1772777632.3332129__
0.60,0.56,True,42,42,__SENTINEL__0.55_0.40_1772777633.2160027__
0.60,0.64,True,42,42,__SENTINEL__0.55_0.50_1772777634.1026428__
0.60,0.72,True,42,42,__SENTINEL__0.55_0.70_1772777635.9550936__
0.70,0.24,True,42,42,__SENTINEL__0.65_0.40_1772777638.7490785__
0.70,0.32,True,42,42,__SENTINEL__0.65_0.50_1772777639.6900265__
0.70,0.40,True,42,42,__SENTINEL__0.65_0.60_1772777640.6073048__
0.70,0.48,True,42,42,__SENTINEL__0.65_0.70_1772777641.5410662__
0.70,0.56,True,42,42,__SENTINEL__0.75_0.20_1772777642.4296875__
0.70,0.64,True,42,42,__SENTINEL__0.75_0.30_1772777643.3353636__
0.70,0.72,True,42,42,__SENTINEL__0.75_0.50_1772777645.2473898__
0.80,0.16,True,42,42,__SENTINEL__0.75_0.70_1772777647.2279363__
0.80,0.24,True,42,42,__SENTINEL__0.85_0.20_1772777648.1405528__
